iter	Passed	Remaining
962	11203	430
963	11217	418
964	11231	407
965	11246	395
966	11263	384
967	11280	372
968	11298	361
969	11312	349
970	11327	338
971	11344	326
972	11356	315
973	11369	303
974	11382	291
975	11396	280
976	11405	268
977	11417	256
978	11428	245
979	11437	233
980	11452	221
981	11465	210
982	11481	198
983	11499	186
984	11514	175
985	11528	163
986	11543	152
987	11558	140
988	11572	128
989	11583	117
990	11596	105
991	11609	93
992	11619	81
993	11629	70
994	11638	58
995	11645	46
996	11656	35
997	11668	23
998	11678	11
999	11691	0
